CLUE,ANS,POS,FOUND IN
"Archetype, master copy ",original,14,Original archetype
Practical joke,prank,1,Prankster's delight
Footprint ,step,5,Evidence of steps
Any procedure regularly followed ,routine,2,Customary routine
Large tall chimneys ,stacks,1,Soaring stacks
Investigation of component parts ,analysis,1,Breakdown analysis
Ooze slowly out ,seep,2,Gradually seep
Windless ,calm,1,Calm breeze
Dispenser of vapour for the nose or lungs ,inhaler,5,Nasal inhaler (in case it's a medicinal context)
Planet ,mars,14,Rocky sphere in the solar system (referring to terrestrial planets like Mars)
Pope's diadem ,tiara,10,Religious tiaras
Slippery fish ,eel,3,Eel-like appearance or behavior
"Lifted the lid, say",opened,7,Opened up a world of possibilities
Roman silver coin -- is unread (anag),denarius,1,Uninscribed denarius
Toy bear ,teddy,3,Cuddly teddy bear
Largest Canary island ,tenerife,1,"Located in the Macaronesia region of the Atlantic Ocean, this Spanish archipelago comprises seven main islands: Tenerife (largest), Gran Canaria, Fuerteventura, La Palma, La Gomera, El Hierro, and Lanzarote."
Satan ,lucifer,7,Luciferian figure
Wild animals; a soccer team ,wolves,7,Flock (informal term for animals like birds or wolves; can metaphorically represent a group of people such as a soccer team)
