CLUE,ANS,POS,FOUND IN
Summit ,apex,9,Apex attainment
Muslim law ,sharia,11,"Inheritance (Wasiyyah): Distribution of a deceased person's estate according to predetermined shares among heirs, prescribed by Shariah."
Map ,chart,11,Hydrographic charting
Belgian city,liege,10,Liege (capital of the region)
Meet expectations ,satisfy,2,Satisfying
Relieving pain,analgesic,5,Analgesic effect
Branch of maths ,geometry,2,"Geometry: Focuses on properties and relationships of points, lines, angles, surfaces, and solids in space"
Wheat-like cereal ,rye,5,Rye bread
Simple ,easy,10,Easygoing
Specimen ,example,8,Example representation of a class/species
Asking God to look favourably on ,blessing,19,Requesting Blessings
Wetness ,moisture,13,Foggy (related to moisture in air)
Wreckage on sea ,flotsam,17,Lagoon flotsam
Smoker - globefish,puffer,10,Underwater puffers (figurative)
