CLUE,ANS,POS
Mythical story ,legend,1
"Tremendous, gigantic ",enormous,3
Branch of linguistics concerned with meanings ,semantics,1
Cause of disgust ,abomination,20
Synthetic fabric ,nylon,2
Answer ,reply,3
(Of a face) yellowish ,sallow,1
Former name of Istanbul ,constantinople,2
Commands ,orders,2
Protection from the rain ,umbrella,1
Male shop worker ,salesman,2
Showing forgiveness ,merciful,3
Wish ,hope,6
Acquire ,obtain,1
Stretch of time ,period,3
Feeling guilty ,ashamed,6
"Caribbean country, capital Port-au-Prince ",haiti,1
