CLUE,ANS,POS
Changed from solid to liquid ,melted,1
Nervously tense ,uptight,8
One serves at table ,waiter,1
Apertures in the eye ,pupils,1
Small pool of muddy water ,puddle,1
Farm vehicle ,tractor,1
Occurring now and then -- cop raids (anag) ,sporadic,3
Disastrous destiny ,doom,1
Clasp ,embrace,9
Exult -- make merry ,rejoice,2
"Profits, incomes ",earnings,2
"It causes something to happen, in chemistry say ",catalyst,1
Goods being transported ,cargo,2
Do well ,prosper,3
Petition ,request,1
Exceed,surpass,2
