CLUE,ANS,POS,FOUND IN
One of Lear's daughters ,cordelia,1,"Cordelia (most straightforward answer, the youngest daughter in Shakespeare's play King Lear)"
Corpse ,body,1,Dead body
Discharge,outflow,18,"Outflow (movement away from a central point, like rivers discharging into the sea)"
Audacious robbery,heist,1,Bold heist
Harwich's river ,stour,3,"Stour (Incorrect - While the River Stour does flow nearby, it is not specifically Harwich's river.)"
Sideways somersault,cartwheel,6,Cartwheel (involves a sideways rotation as well)
Rapid alternation of notes ,trill,4,"Trill (rapid alternation between two adjacent notes, usually a semitone or whole tone apart)"
"Place where ancient Greeks consulted gods, as at Delphi ",oracle,1,Oracle (Delphi is famous for its oracle of Apollo)
Reigned ,ruled,1,"Ruled or governed as a monarch - Kings, Queens, Emperors."
Front section of a plane,cockpit,3,Cockpit area
What Jack Sprat's wife couldn't eat ,lean,2,"Greens (referring to ""Jack Sprat could eat no fat; his wife could eat no lean."")"
