CLUE,ANS,POS,FOUND IN
Arduous walk,trek,19,Draining trek
Interconnected system of things or people ,network,2,Network of relationships
Dexterity ,skill,1,Skillful hands
Italian city (with two gentlemen),verona,7,Verona (with Romeo and Juliet)
Greek - upper room,attic,7,"Skenes (an ancient Greek word for ""upper chamber"" or ""attic"")"
Old London prison ,newgate,2,Newgate Prison
Old song 'Auld . . . . Syne' ,lang,1,Auld Lang Syne (the correct spelling)
Russian city and ballet company ,kirov,3,"Kirov Ballet (former name of the Mariinsky Ballet, also based in St"
High quality brandy,cognac,1,Premium cognac
Not in fashion ,out,1,Outdated
Bantu language ,swahili,1,Kiswahili (Swahili) - jamii (community)
Eat lightly and often ,graze,2,Graze throughout the day
