CLUE,ANS,POS
French impressionist painter ,renoir,2
Composer or performer ,musician,3
Large gun ,cannon,1
Readily apparent ,evident,7
Strong wind ,gale,1
Intensely; harshly ,severely,3
Burial place ,tomb,3
Jealousy ,envy,1
Wheel-hoop ,tyre,4
Profession dealing with finance ,accountancy,1
Devotion (to a task) ,dedication,20
Definite article ,the,1
Spanish city; orange type ,seville,3
Admitted - deceived,taken in,8
Striped equine ,zebra,1
To a small degree ,slightly,1
"Shrewdness, good for business ",acumen,1
