CLUE,ANS,POS,FOUND IN
One of Lear's daughters ,cordelia,3,"Cordelia (not one of her own, but a significant figure related to the King Lear narrative)"
Legal proceeding brought by one party against another,action,3,Court action
Corpse ,body,5,Dead body
Audacious robbery,heist,2,Bold heist
Outlook or aspect,prospect,16,Outlook (future expectations or prospects)
Sideways somersault,cartwheel,5,Cartwheel direction
Dwell ,reside,9,Bivouacked (temporary residence)
Famous novel by F Scott Fitzgerald 'The Great . . . . . .' ,gatsby,1,The Great Gatsby
Occuring twice a year ,biannual,5,Biannual occurrence
Texas mission besieged and captured by Mexican forces in 1836 ,alamo,1,Alamo Siege
Express gratitude to ,thank,1,Thank you sincerely for your help.
Front section of a plane,cockpit,8,Cockpit area (specifically at the front)
Prepare for publication ,edit,13,Incorporate feedback from editors
Amaze ,astound,2,Astounding
What Jack Sprat's wife couldn't eat ,lean,12,"Lean portions (by contrast, what she could eat)"
