CLUE,ANS,POS
Very early calculator ,abacus,1
Nobleman ,marquis,7
Very surprising ,startling,16
Fold covering around something ,wrap,16
Started again after a break,resumed,2
Contact device,pager,5
Increasing threefold ,tripling,1
"Useless, producing no results ",futile,2
Hurt ,injured,1
Require ,need,3
Stayed clear of,avoided,1
"Glass cylinders closed at one end, used in laboratory work",test tubes,1
Portending bad things ,ominous,1
The onset of darkness ,nightfall,8
Period or stage in a process ,phase,1
Put off ,delay,1
