CLUE,ANS,POS,FOUND IN
Secret plot; clique ,cabal,10,Cabal (a secret political clique or faction)
Explosive - pit ,mine,10,Minefield (implying multiple explosive pits)
Thick liquid that doesn't dissolve in water ,oil,8,Silicone oil
Solvers of practical problems using scientific knowledge ,engineers,7,Civil engineers focused on infrastructure improvement projects
Do away with ,abolish,2,"Possible answers might include 'eliminate,' 'abolish,' 'discard,' 'remove,' 'eradicate,' 'cancel,' 'nullify,' 'terminate,' 'forget,' 'dismiss,' 'oust,' 'expunge,' 'annul,' 'revoke,' 'obliterate,' 'exorcise' (figuratively), 'extinguish,' or 'negate.'"
Capacity to become ,potential,1,Potentiality
Tear into scraps ,shred,2,Shredded
Riding trousers ,breeches,5,Riding breeches
Standard ,norm,2,Normative
Recovery of youth,rejuvenation,2,"Rejuvenation - (9 letters) The process or result of making someone or something look or feel younger, fresher, or more lively."
Gun ,firearm,1,"However, if you seek direct answers relating to types or classes of firearms, here are some:"
