CLUE,ANS,POS,FOUND IN
Of horses ,equine,1,Equine species
Shoe part,heel,4,Heel cap
Oration ,speech,1,Declamatory speech
Allot or ascribe ,assign,1,Assign a specific role in the group project
Small birds ,sparrows,5,Dainty sparrows
Sudden feeling of fear,fright,4,Frightened
Herb to make money ,mint,6,"Money mint (play on ""mint"" as a plant and the concept of making money)"
Watering hole,oasis,3,Oasis-like area
Flavour ,taste,10,"Umami-rich (referring to the fifth basic taste, savory or meaty)"
Throw down the gauntlet,dare,10,A dare (informal)
Can ,tin,5,Gastric emptiness (Medical condition causing an abnormal feeling of fullness in the stomach despite lack of nourishment)
Toe... ....conform under compulsion ,the line,2,"Submissive posture (not directly related but can be metaphorical for ""toeing the line"")"
Eyelash cosmetic ,mascara,2,Mascara wand
Capital of Ghana ,accra,1,"Established by British colonialists in the late 18th century during their quest for a port on the Gulf of Guinea, Accra has since evolved into an important hub of culture, commerce, politics, and education in West Africa."
"Soften, give in ",relent,1,Relenting
Subatomic particle ,neutron,3,"Neutron: Subatomic particle with no electrical charge (neutral), also found within the atomic nucleus alongside protons."
