CLUE,ANS,POS,FOUND IN
Spanish friend ,amigo,1,Amigo español
Mechanical device preventing a wheel slipping backwards,ratchet,3,Ratchet mechanism
Taurus,bull,1,Bull-headed
Follower of religion founded by Joseph Smith Jr. ,mormon,2,Mormons (a term that was originally used mockingly but has been adopted officially)
A simple or old song ,ballad,2,Folk ballad
Savoury jelly ,aspic,1,Aspic gelée
Lie with arms and legs spread about loosely ,sprawl,1,Sprawled out
Set in motion,trigger,3,Triggered
State-of-the-art ,cutting-edge,1,Cutting-edge technology
Inappropriate ,improper,9,Improperly dressed
Least in difference between high and low tides,neap,2,Neap day cycle
Wardrobe ,closet,19,Closet items
Right or means of entry ,access,4,Access point
Handle something awkwardly ,fumble,2,Fumble with
Diminishes or puts at rest ,allays,17,Allays fears
Form of mental illness causing one to withdraw into private world ,autism,7,"High-functioning autism (Asperger's syndrome, though no longer an official diagnosis as of DSM-5)"
Compunction ,remorse,1,Remorsefulness
