CLUE,ANS,POS,FOUND IN
Italian resort ,rimini,7,Rimini (coastal city with beaches and beach resorts)
Musical speed ,tempo,8,Accelerando (accelerating tempo)
Spoken test,oral,2,Oral communication
"Nurse, nun or relation ",sister,7,Sisterly caretaker
Booted out of office ,ousted,10,Ousted leader
Small stem ,sprig,20,Sprightly
Over and above ,extra,3,Extraordinary measures
(Of days) in the long distant past! ,olden,7,Olden days
"Piece of crockery, maybe flying ",saucer,9,Skydiving saucer
Sullen in a peevish way,petulant,17,Petulant mood
Reek ,stink,3,Stinky
