CLUE,ANS,POS,FOUND IN
Giraffe-like animal ,okapi,1,Okapi - The okapi is a giraffe-like animal that is native to Africa and has a distinctive coat pattern with stripes on its hindquarters and spots on its frontquarters
Indian dish ,samosa,7,Samosas
Trained Japanese hostess -- his age (anag) ,geisha,4,"Geisha (as in a trained geisha, often associated with Japanese culture)"
King Richard 1st had nickname like Latin hero ,lionheart,1,The Lionheart
Greasy mark ,smear,8,Oily smear
Hitler's title ,f,1,"Hitler was responsible for horrific atrocities during World War II, and his actions caused immeasurable harm and suffering to millions of people"
Unfettered,free,4,Free-flowing
Bony framework ,skeleton,4,Supporting skeleton
Sandbank ,bar,8,Barrier island
Small African nocturnal primate with large eyes ,bushbaby,4,"Bushbaby (a small, nocturnal primate found in Africa, with large eyes)"
