CLUE,ANS,POS
Quickly and without warning ,suddenly,1
"Infuriated, outraged ",incensed,5
Sound of a plucked string ,twang,1
Maritime,nautical,3
"Mount, ascend ",climb,1
Wanting too much ,greedy,1
Country in Indochina ,vietnam,1
Diminish ,lessen,4
Fixed to the spot like a plant ,rooted,4
"Range, extent ",scope,1
Chaos ,mayhem,3
Substance exuded by acacia ,gum arabic,1
"Trembling, vibrating ",shaking,1
Weapon store ,arsenal,1
Paid killer ,assassin,1
District ,area,12
Innate ,natural,2
Naval officer ,admiral,1
