CLUE,ANS,POS
Quickly and without warning ,suddenly,1
"Infuriated, outraged ",incensed,11
Outdoor ,open air,8
Sound of a plucked string ,twang,1
"Mount, ascend ",climb,1
Wanting too much ,greedy,1
Country in Indochina ,vietnam,1
Diminish ,lessen,3
Fixed to the spot like a plant ,rooted,1
"Range, extent ",scope,1
Chaos ,mayhem,6
Substance exuded by acacia ,gum arabic,1
"Trembling, vibrating ",shaking,1
Weapon store ,arsenal,1
Paid killer ,assassin,1
District ,area,2
Innate ,natural,2
Naval officer ,admiral,2
