CLUE,ANS,POS
Show,display,2
Occupant ,resident,1
Nevertheless ,even so,10
Heated discord,strife,13
"Extinguish, wipe out ",eradicate,7
Narrow road ,lane,3
Baleful ,ominous,13
Cheap and poorly made ,shoddy,1
Concern or curiosity ,interest,1
Air-filled bag ,balloon,2
Closely compacted ,dense,1
Removed contents,emptied,1
Trainee officer ,cadet,1
Extra payment ,bonus,1
Achieve successfully ,accomplish,1
Peak (of cap); be very full ,brim,10
Ovine animal-keeper ,shepherd,1
French spa town,vichy,1
Submarine's eye? ,periscope,1
People of high birth,gentry,5
"Verify, examine ",check,9
Best possible,ideal,4
Fee paid to secure services ,retainer,4
Ravine ,gorge,1
"Apprise, notify ",inform,1
Muggy ,humid,1
Without fixed limits or restrictions,open-ended,4
Rough calculation ,estimate,1
Online document ,web page,7
Star sign ,virgo,6
"Horrified, shocked ",aghast,5
Take a stand against ,oppose,2
Egyptian goddess ,isis,1
"Hurry, haste ",rush,3
"Atrocious, awful ",dreadful,5
"London area, centre of the UK diamond trade",hatton garden,6
One loads and unloads ships,stevedore,2
Revenge ,reprisal,6
Sudden apprehension and fear ,alarm,9
Thighbone ,femur,1
