CLUE,ANS,POS
"Draw out, evoke",elicit,2
Let-up ,respite,7
Flabbergast ,astound,9
Facts ,data,1
"Going on and on, interminable ",endless,2
Alter ,amend,3
Male fertilising organ of flowering plants ,stamen,3
See Danite among those confined by the authorities ,detainees,6
"With tender, nostalgic or sad feelings ",sentimental,4
Tail vertebrae ,coccyx,1
Firmly fixed or free from uncertainty ,secure,13
"Informally, an important person - sounds loud ",big shot,7
Winter sport ,skiing,1
Pull hard ,yank,5
Simple arithmetic ,addition,1
It connects points of equal air pressure ,isobar,1
Fungus used in baking ,yeast,1
Asian country ,india,5
