CLUE,ANS,POS
Study of birds ,ornithology,1
Force that produces rotation ,torque,1
"Brilliant, fantastic ",superb,2
Turkic language ,tatar,7
Sequences of instructions to computers ,programs,1
Fend off ,avert,12
Rolling over and over ,tumbling,13
Tale ,yarn,11
Hindu ascetic ,yogi,1
Bacteria ,germs,1
Substance sealed in container and released as fine spray ,aerosol,1
Night birds ,owls,1
Affronted ,insulted,1
Plaything ,toy,1
Circular frame with spokes,wheel,1
Yield - gain,profit,1
Rigorous ,stringent,1
Carve ,engrave,8
