CLUE,ANS,POS
Ancient stringed instrument ,lyre,2
Cries of wild geese ,honks,1
Workers' organisations ,unions,1
Drinker's paunch ,beer belly,1
Working the land ,tilling,2
Celestial body of hot gases ,star,2
Reach ,attain,8
Soldier in a light cavalry regiment ,hussar,1
Pursue,chase,2
Remain ,stay,8
"Guard, keeper ",warden,12
Life-supporting gas ,oxygen,1
Towed vehicle,caravan,3
Jupiter is one ,planet,1
Irrational fear ,phobia,1
Thoroughfare ,avenue,1
Imperial land measurement ,acre,1
