CLUE,ANS,POS
Quickly and without warning ,suddenly,1
"Infuriated, outraged ",incensed,1
"Italian astronomer, a founding father of modern science ",galileo,1
Sound of a plucked string ,twang,2
Maritime,nautical,1
"Mount, ascend ",climb,1
Inn ,tavern,2
Wanting too much ,greedy,2
Country in Indochina ,vietnam,1
Diminish ,lessen,4
Fixed to the spot like a plant ,rooted,1
Scottish dance ,reel,1
"Range, extent ",scope,1
Chaos ,mayhem,3
Substance exuded by acacia ,gum arabic,1
"Trembling, vibrating ",shaking,2
Weapon store ,arsenal,1
Paid killer ,assassin,2
District ,area,2
Naval officer ,admiral,1
