CLUE,ANS,POS,FOUND IN
Mathematical array ,matrix,8,Matrix operation
Go ahead; element ,lead,15,Picky eater (can lead to hunger if not addressed)
Style of hat ,fedora,3,Fedora hat
Cold dish ,salad,1,Chilled salad
Onlookers ,audience,11,Appreciative audience (if the onlookers are impressed or entertained)
One of two Tory prime ministers,pitt,5,William Pitt the Elder
Belgian surreal painter ,magritte,1,Rene Magritte
Draw in (with mouth) ,suck,1,Suckle
Weirdly funny ,wacky,15,Weird and wacky
Appointments ,dates,3,Set dates
