CLUE,ANS,POS,FOUND IN
Powerful falcon ,peregrine,1,Peregrine Falcon
Devon river ,exe,1,Exe River
Lightest and most abundant of all substances,hydrogen,1,Hydrogen gas
Spanish gentleman ,hidalgo,7,Hidalgo castellano
Take issue with ,disagree,20,Disagree with
Association of sports teams ,league,12,League counterparts
Inflammation of head cavities ,sinusitis,1,Sinusitis (inflammation of sinus cavities)
Ventilated ,aired,2,Well-aired
Gaping,wide open,1,It can also refer to someone's mouth being wide open in surprise or shock
Mighty ones grow from little acorns,oaks,6,Mighty oaks from little acorns fall
Nut ,cashew,4,Cashews
All right ,okay,3,Okay condition
