CLUE,ANS,POS
Tramp ,vagrant,2
Middle Eastern dessert ,baklava,1
Worthy or praise ,laudable,11
Oriental ,eastern,1
Book of maps ,atlas,1
Inhabit ,occupy,2
Dickens novel,hard times,7
Blessing or good wishes to traveller ,godspeed,4
Inveterate ,habitual,1
Liable to break easily ,fragile,1
Flower container,vase,2
(Of music) not in a key ,atonal,2
A horse's feet ,hooves,1
"Inhabit, take up space ",occupy,1
Female title; panto part ,dame,3
The breastbone ,sternum,1
Raucous - austere - bitter,harsh,1
