CLUE,ANS,POS,FOUND IN
Unit of electrical energy ,kilowatt-hour,2,Kilowatt-hour (kWh)
Russian dictator ,stalin,3,Joseph Stalin
"Apply, employ ",use,1,Utilize: To make use of something for a particular purpose or function.
Flabbergast ,astound,4,Astounded
Car (US) ,auto,1,Automobile
Lie on surface of water,float,2,Floating
Alter ,amend,6,Amended
Exercise power over in an autocratic manner ,domineer,19,Domineering chief executive
Applaud ,cheer,17,"Supportive cheering (related by context, not direct synonyms)"
"With tender, nostalgic or sad feelings ",sentimental,8,Sentimental longing
Fasten; level game ,tie,7,"Parity: A condition of equality between two parties, ensuring fair competition in games."
Tail vertebrae ,coccyx,8,Tailbone (coccyx)
Flee ,escape,1,Escaped
Lloyd Webber musical set in Argentina ,evita,1,"However, it's important to note that while ""Evita"" does touch upon themes related to Argentina's history, the musical itself isn't set in a specific location within Argentina but rather depicts various aspects of Eva Perón's life, her rise as a political figure, and her impact on Argentine society"
Pull hard ,yank,6,Rough yanking
Simple arithmetic ,addition,1,Addition (+): Combining two or more numbers into a single total sum.
Accessible to all ,public,9,Public domain
Game in which the answer is acted out ,charade,3,Charade - An exercise or game in which players act out words or phrases for others to guess the answers.
