CLUE,ANS,POS,FOUND IN
Stay on ,remain,15,Remain steady (keep firmly on course and undeterred by distractions)
Defeat by superior ingenuity ,outwit,9,Outwitted (outsmarted by superior intellect)
Reverie ,dream,1,Dreaming
Be in accord,agree,1,"Concordant - existing in harmony, agreement, or consistency with something else."
Of birth ,natal,16,Natality (rate of live-births or population growth)
Salad plant,cress,16,Watercress
Hungarian stew ,goulash,8,Bánh mé - A type of goulash made from beef and sour cherries.
Peas grow in one ,pod,13,Pods
Crown or headband as sign of sovereignty ,diadem,19,Imperial Diadem
"Plant, avens ",geum,1,"Adenophyllum - Also known as birdfoot vetch or adenophylla, this plant belongs to the pea family and is related to common avens (Geum urbanum)."
Fluid collected by bees ,nectar,5,Nectar - The sugary liquid produced by flowers that honeybees collect to create honey through a process of regurgitation and evaporation.
Economical -- rubbishy ,cheap,1,Frugal - economical; cheap or low-quality (rubbishy)
South American river ,amazon,1,"Amazon - The largest river in South America and one of the longest rivers worldwide, flowing through Brazil, Peru, Colombia, and several other countries."
