CLUE,ANS,POS
Old or ageing ,elderly,7
Bring a baby off mother's milk ,wean,12
Hang around ,loiter,3
Mischievous fairies ,elves,53
Style; refinement ,elegance,2
Disgorged ,ejected,22
Breaking waves ,surf,2
A stand in a market-place ,stall,2
Illegal ,illicit,3
"Functional, handy ",useful,2
Frame of vehicle ,chassis,2
Card game ,canasta,12
Adhesive - muggy,sticky,13
Baby frogs ,tadpoles,46
Knock down (building) ,demolish,2
Part of a billiard table,pocket,5
Nearer ,closer,12
Requiring hard work ,arduous,2
Crustacean ,crab,2
