CLUE,ANS,POS
Proportion of one thing to another ,ratio,1
Intrepid,audacious,6
Large property ,estate,1
Affection,warmth,5
Heavenly,celestial,2
Loose casual trousers,slacks,1
Living ,alive,7
Entertains ,amuses,1
Gross mistake,blunder,1
Kinship between women ,sisterhood,1
Interlace strands of material ,weave,17
Criminal deception,fraud,1
Makes a speech ,orates,9
Local dignitary ,mayor,1
John ...... wrote ` `The Pilgrim's Progress'' ,bunyan,1
As one,together,2
Not guilty ,innocent,2
Divine food,manna,6
Without anxiety or responsibilities ,carefree,8
Protective or concerned ,caring,3
Retail outlet,shop,2
Covert ,stealthy,1
Discourage ,deter,7
Cold meal ,salad,8
In favour of policies of progress and reform ,liberal,11
Evident - tangible ,palpable,10
Former name for Sri Lanka ,ceylon,1
Comedian ,comic,11
Early artilleryman ,cannoneer,1
