CLUE,ANS,POS,FOUND IN
Appear amused ,smile,1,Smile playfully
Bills in restaurants ,tabs,7,Dinner tabs
Transparent ,clear,1,Crystal clear
Surprise police visit ,raid,13,Frightened experience during a surprise police raid
Utter a piercing cry,scream,1,Blood-curdling scream
James Bond likes his martini this way ,shaken,1,"Shaken, not stirred"
Hand tool; proverb ,saw,2,"Saw - ""A saw is a hand tool that can cut through anything."" (Proverbial meaning: A valuable tool for overcoming obstacles.)"
From Antarctica or the Arctic ,polar,6,Polar bear habitat
"Mist, light fog ",haze,1,Damp haze
Most senior member of a group ,doyen,9,Doyenne
