CLUE,ANS,POS,FOUND IN
German cherry brandy ,kirsch,1,Kirschwasser (a German cherry brandy made from cherries)
Cricket team? ,eleven,1,Eleven players
"Eg, seaweed ",alga,1,Algae
"US state, capital Columbus ",ohio,1,"The capital of Ohio is Columbus, but there is no state named Columbus"
At some time afterwards ,later,1,Later on
Skinflint ,miser,1,Miserly
Dassie ,hyrax,1,Rock hyrax
Big brass instrument ,tuba,11,Bass tuba
(Of a store) providing a variety of goods and services,one-stop,1,One-stop shop
'Don Juan' poet ,byron,1,Lord Byron
Academic essay,thesis,3,Thesis-driven essay
