CLUE,ANS,POS
Public dispute,controversy,8
Cowboys' contest ,rodeo,1
Prejudice ,bias,1
String of beads ,necklace,6
Agitated ,excited,6
Certificate ,diploma,3
Turn off course,deviate,6
Study of human and animal behaviour ,psychology,2
Fastener; propeller ,screw,1
Member of a Bantu people living in Zimbabwe ,shona,8
Repository for objects of historical interest ,museum,1
Withdraw former statement or belief ,recant,10
Mexican monetary unit,peso,1
"Another name for Dionysus, Greek god of drink ",bacchus,1
