CLUE,ANS,POS,FOUND IN
Open ,unseal,8,Unsealed or unlocked
Land covered with trees ,forest,2,Forestry
- May Alcott; author ,louisa,8,Mother of Louisa May Alcott
Lock (of hair) ,tress,3,Coarse tresses
Cleaning implement ,mop,2,Mophead
Porous fibres for soaking up ,sponge,3,Sponge-like materials
"Author of Our Mutual Friend, d. 1870",dickens,1,"He is best known for his novel ""Our Mutual Friend"" (published in three volumes between 1865 and 1870), which is a sequel to the famous Charles Dickens' work, ""Great Expectations."" Gilbert was an active member of the Victorian literary society and contributed significantly to the social realism genre"
Cleaner - TV programme,soap,5,Germicidal soap
Leg joint,knee,2,Knee joint
Suffocation ,asphyxia,1,Asphyxiated
Insurgent ,rebel,1,Rebellious
Graduates of a college ,alumni,1,College alumni
Pester persistently,harass,10,Continuous harasser
"High-pitched, piercing ",shrill,2,Elevated shrill tone
