CLUE,ANS,POS,FOUND IN
Aim - striker's target,goal,1,Goalpost
"Author Hemmingway, and Oscar Wilde's hero ",ernest,1,Ernest (Ernest Hemingway)
Prohibit company banking money ,banco,1,Bancorporection
Lymphatic tissue at the back of the mouth ,tonsil,1,Palatine Tonsils
Printed characters ,type,4,Typeface
Astronomical angle -- ,azimuth,2,Azimuth Angle
Turning machine ,lathe,1,Lathe - A machine tool used to shape metal or wood by rotating it against cutting tools.
Old sailors' dance,hornpipe,1,"Hornpipe - A traditional Scottish country dance in common time, with lively music and distinctive hornpipe rhythm."
"Amount, aggregate ",sum,3,Summation
Mischievous fairy ,pixie,7,"Pixie (a diminutive, mischievous fairy-like creature)"
One from Salonika ,greek,5,"Byzantine Art - A style that was prevalent during the height of the Byzantine Empire; artwork from this period influenced much of Greek culture, including those found in Salonika (Thessaloniki)."
Make compulsory ,mandate,13,Mandated
