CLUE,ANS,POS,FOUND IN
Important historical period,era,1,Ancient Era
Muck ,dirt,16,Mucky-fingers (referring to someone's dirty hands)
Prickly plant of lithest kind ,thistle,15,Creeping thistle
Shaped like a ring ,circular,4,"Ovum (egg, shaped similarly to an oval but can also be considered circular in its simplest form)"
Tetanus ,lockjaw,5,Lockjaw - A common name for the severe tightening of jaw muscles seen in many cases of tetanus.
Total failure; fall heavily ,flop,13,Flops
Mouth-organ ,harmonica,8,"Harmonica - A small, portable wind instrument played by mouth that uses compressed air to vibrate metal reeds."
Secret police of the former German Democratic Republic,stasi,1,Stasi (short for Staatssicherheit)
Fast-running African bird ,ostrich,1,"Ostrich - Although not as fast in running, it's known for being the largest and heaviest bird on Earth"
French impressionist painter ,renoir,2,Pierre-Auguste Renoir
Commercial promotion ,advertisement,11,Billboard advertisement
Raised pulpit ,ambo,5,"Pulpitum - The term historically refers to the structure or space around an ambo (raised stand) in ancient Greek and Roman architecture but not specifically used today as ""pulpit."""
Freshwater sea of Israel ,galilee,1,Sea of Galilee (Kinneret)
"Source, derivation ",origin,1,Origin (noun) - The point in time or space from which something starts or develops; the place where something begins.
Mental picture; idol ,image,1,Imagery
"Small beetle, crop pest ",weevil,3,Beetle Weevil (Chrysomelidae) - A family of small beetles that include some crop pest species.
Reckoning of a debt or of votes ,tally,14,Ballot Tallying
Appeal ,plea,1,Plead
Tin alloy used to make plates and mugs,pewter,11,Pewter (predominantly tin-based alloy that has been historically used for tableware)
Rather inferior,mediocre,2,"Mediocre - average, not particularly good or bad."
Arrogant people are often described as high and . . . . . . ,mighty,16,High-and-mighty
