CLUE,ANS,POS
Therefore ,hence,2
Comparable (to) ,analogous,4
One without mother or father ,orphan,1
A conductor wields it ,baton,1
Harsh ,severe,1
Individual unit in a list ,item,2
Land jutting into sea ,point,6
Capital of Nebraska ,lincoln,1
Corkscrew shape ,spiral,2
Job favouritism shown to relatives ,nepotism,1
"Sudden, short attack ",raid,9
Uppermost point ,apex,8
In danger ,at risk,1
A fool being cool and remote ,aloof,1
Interfere ,meddle,1
Simple - computer language ,basic,1
Adoration ,worship,2
