CLUE,ANS,POS
Bloodsucker; early doctor ,leech,1
Roman Emperor notorious for vice and luxury ,nero,1
Supreme Being ,god,3
Wash with clean water,rinse,1
Clown,jester,5
Get away ,escape,1
"Rudyard --, author ",kipling,1
Thrilled ,excited,11
Petty quarrel ,tiff,3
Casual shoes ,sneakers,1
Burrowing marsupial ,wombat,1
Prison formerly standing on site of the Old Bailey ,newgate,1
The world considered as a linked community ,global village,16
Lapwing-like bird ,plover,1
Marine - living in water ,aquatic,1
Abundant in quantity ,copious,4
Small falcon ,merlin,3
Dramatic prince of Denmark ,hamlet,1
"Eg, native of Sucre ",bolivian,1
Sermons are preached from it ,pulpit,1
"Undamaged, not broken ",intact,1
Sudden impulse ,whim,2
Picture-house,cinema,1
