CLUE,ANS,POS
Greek letter D,delta,1
Supposes ,imagines,5
Body of land surrounded by water ,island,1
German city ,wiesbaden,11
Windpipe ,trachea,1
Banana-like fruit ,plantain,1
"... dum and ...dee, characters in Through the Looking Glass",tweedle,1
Distance between rails ,gauge,1
Locate or identify with precision ,pinpoint,1
"Of software, containing errors ",buggy,1
Nervous ,on edge,13
Female fox,vixen,3
Hard Italian cheese ,parmesan,1
Football attacker ,striker,1
Look; nobleman ,peer,2
