CLUE,ANS,POS,FOUND IN
Kingdom ,realm,1,Sovereign realm
"Japanese dish, often cooked at table",sukiyaki,3,"Sukiyaki - A Japanese dish consisting of thinly sliced beef, tofu, menma, and various vegetables cooked together with a special sauce."
Tolerate,bear,3,Bearable
Break loose - flight,escape,7,Skyward escape
Escape route ,egress,4,Egress point
Sea-creature resembling tortoise ,turtle,3,Seal turtle
Of the Middle Ages ,medieval,20,Medieval tapestries
Carry ,bear,1,Bear the load
Prolong ,protract,9,Protracted
Rosemary perhaps ,herb,1,Pine-scented herb
Immature insect ,larva,1,Larvae
Female peer ,lady,6,Lady companion
He's the one owed the money ,creditor,3,Creditor due
Find - remnant of something,trace,16,Traces
Relating to vision ,optic,3,Optical clarity
Sound of someone walking ,footfall,9,Percussive rhythm (of footfalls)
