CLUE,ANS,POS,FOUND IN
Artist's workplace,studio,5,Studio apartment
Hi! - bye! ,ciao,9,Ciao-arrivederci
Native of London's East End ,cockney,5,Cockney Rhyming Slang expert
Warplane ,fighter,2,Fighter jet
"Fingers, toes and numbers",digits,1,Digits - referring to the fingers and toes
Biblical 'you' ,thou,1,**Thou**: This is the most common form of the second-person singular pronoun in the King James Version (KJV) of the Bible.
"Precise detail; small, trivial matter",minutia,1,Minutiae
Science of sound ,acoustics,14,Psychoacoustics
French channel port ,calais,1,"Calais is a major port city located in northern France, directly opposite the English port town of Dover"
Corrode,eat,1,Eat away at
