CLUE,ANS,POS
Grassy plains of Argentine ,pampas,1
Unstable - it may be thrown! ,wobbly,7
Deep gorge or ravine ,canyon,1
Noise of an explosion ,bang,8
"People, especially if posh ",gentry,4
Map-line showing places with equal air pressure ,isobar,1
Caesar's year planner ,julian calendar,18
"Hurting, painful ",sore,14
Weak ,feeble,2
Lusterless or uninteresting ,dull,1
Bony outgrowths on the heads of some animals ,horns,1
Altruistic,selfless,8
Depart; permission ,leave,1
Land once belonging to a nobleman,manor,1
3 ,three,1
Earnest request ,plea,1
Story ,narrative,8
