CLUE,ANS,POS
Roadside channel ,gutter,2
Least fatty ,leanest,4
Without assistance ,unaided,8
Musically it's a long way to this Irish county ,tipperary,5
"Irritates, annoys ",irks,6
Deliver from danger ,rescue,1
Make known to others ,reveal,3
Salad vegetable ,lettuce,1
Precious stone ,sapphire,3
Given to bragging ,boastful,2
Bird's beak ,bill,1
Hidden microphone ,bug,1
Cheerfully willing to do favours ,obliging,7
Finger-shaped cake with cream filling ,eclair,3
Waste away,fade,3
Within the bounds of belief,credible,2
