CLUE,ANS,POS
"George _______, nom de plume of Eric Blair",orwell,1
Arduous walk,trek,1
Interconnected system of things or people ,network,1
Fast boat; blade ,cutter,1
Gain knowledge ,learn,1
Not proper or suitable ,unseemly,11
High quality brandy,cognac,3
Alfred Hitchcock was the master of it ,suspense,1
"Predicament, difficulty ",plight,5
Erase ,delete,5
Small crude shelter ,hut,1
Bantu language ,swahili,2
"Surgical thread, seam ",suture,3
By the sea ,coastal,1
City in Sweden ,uppsala,4
Device to reduce vibrations ,shock absorber,6
