CLUE,ANS,POS,FOUND IN
Listen to,hear,6,Hearing-impaired (if the intent is understanding despite potential impairment)
Save from danger ,rescue,1,Rescued
Sweetener ,sugar,1,Sugar substitute
Prepared ,ready,1,Readymade
Feed ,nourish,1,Nourishment
Large carnivorous fish ,sharks,20,"Giant catfish (e.g., Aroides arapaima, which is often mistakenly linked with sharks due to their size and carnivorous nature)"
Projectile; salad plant ,rocket,13,"Rocket radicchio (as a playful twist on the rockets which are similar in shape when fully grown, juxtaposed with 'radicchio', an edible salad plant)"
Former British rule ,empire,3,Empire Rule
Residue of a fire ,ash,1,Ashes
Trojan hero,hector,10,"Trojan fighter (referring to the mythological city of Troy, e.g., Hector)"
Gem ,jewel,1,Jewelry stone
Of the kidneys ,renal,1,Renal function
Narrow opening,slit,14,Teeny slit
Deport ,exile,3,Exiled
Slangily cheat with wood-working tool ,chisel,1,Chisel away loopholes
In a position to ,able,7,Suitable for a particular purpose
