CLUE,ANS,POS
Fiend ,demon,1
"Wiped out, deleted ",erased,12
Reverberate ,echo,2
"Asian country, capital and mega-port ",singapore,3
Troubles ,difficulties,6
"Catastrophe, tragedy ",disaster,1
In this place ,here,1
European principality,liechtenstein,2
Jerk of a gun when it's fired ,recoil,2
Happening ,event,4
Pigs' feet,trotters,3
Soft feathers ,down,14
Ship's steering apparatus ,rudder,1
Painful heart condition ,angina,1
Film,movie,1
Recreational snow slope ,ski run,8
Owns up or grants entrance to ,admits,1
Shout loudly ,bawl,17
