CLUE,ANS,POS,FOUND IN
Pungent red salad root ,radish,3,Horseradish (known for its pungent flavor)
Once more ,again,8,Relay again
French cathedral city ,chartres,1,"Chartres - Known for its stunning Gothic architecture, particularly the Cathedral of Notre-Dame de Chartres."
Diminutive animal doctor ,vet,1,Veterinary
Well-known or famous person ,celebrity,1,Celebrity (if seven letters are needed)
Hangman's loop ,noose,5,Noose - The loop part of the hanging apparatus itself could be considered.
Exclamation of pain - that hurt! ,ouch,3,Ouch (common expression of pain)
Sign up ,enrol,2,Enroll
Continuous,unbroken,9,Unbroken sequence
French definite article ,les,1,Articles indicate whether something is definite (specific) or indefinite:
Enfold ,wrap,1,"Evelyn Witts, my analysis of the term ""Enfold"" in a crossword context suggests it's a verb that encapsulates the action of wrapping or enclosing something securely within itself or another object"
Older or higher in standing ,senior,1,Seniority
"Dame __, English ballerina, d. 1991",margot fonteyn,1,"Dame Margot Fonteyn (1919-1991) was one of Britain's most celebrated dancers, known worldwide for her artistry as well as her longevity in the dance profession"
