CLUE,ANS,POS
Go without or precede ,forego,2
Cold War term for the capitalist countries ,free world,4
Avoid ,shun,3
Insipid -- uninteresting ,bland,19
More often than not ,mostly,5
"Alone, apart, detached ",isolated,1
Cause of general outrage,scandal,2
"Stirs up, rouses ",excites,1
Hazard ,peril,2
Evaded,dodged,6
Harm or injury ,damage,1
Go too far with ,overdo,1
Ordained minister,clergyman,20
Avidly enthusiastic ,zealous,1
Toy with plastic bricks ,lego,4
Someone not belonging to the nobility ,commoner,1
Joins together ,combines,2
Evasive ,shifty,3
Agave fibre ,sisal,1
