CLUE,ANS,POS,FOUND IN
Greek letter D,delta,11,Delta (Δ) - symbol for change or difference in mathematics
Tears into strips ,shreds,13,Segmented shreds
Large bottle with handles covered in wickerwork,demijohn,4,Demijohn carafe
Won victory over ,defeated,1,Defeated competitor
Pass through a filter ,strain,8,Strained
"Of software, containing errors ",buggy,3,Buggy application
New and old parts of the Bible ,testament,5,Old Testament - contains the sacred scriptures traditionally associated with Judaism and Christianity before the New Testament
Ova ,eggs,1,Eggs (directly related to the clue)
hinting at something indecent ,suggestive,14,Suggestive dialogue or gestures
"Pixie, imp ",elf,9,Elfin figure with fairy traits
