CLUE,ANS,POS
South Pacific member of the Commonwealth ,fiji,1
Subcontinent ,india,2
Small in length ,short,1
Moved smoothly ,slid,2
Instinctive ,intuitive,3
That which is aimed at ,target,1
"'Jeers, provokes (6)' ",taunts,2
Mediocre ,average,1
Peculiar in behaviour ,quirky,1
Puts on a play ,stages,9
Conflict ,strife,3
Flax fabric ,linen,2
University teacher ,lecturer,2
Sudden thrust in fencing ,lunge,1
Organic matter in topsoil ,humus,2
Eraser in bridge ,rubber,2
Cigarette butt,fag end,8
Husks of cereal grain,bran,1
Pull a face ,grimace,1
Dying coals in fire ,embers,1
Yield ,cede,4
One in loco parentis ,guardian,1
"Career, calling ",vocation,2
