CLUE,ANS,POS
Broke into sharp pieces ,smashed,10
Go without or precede ,forego,7
Cold War term for the capitalist countries ,free world,3
Fully grown ,mature,1
Avoid ,shun,5
More often than not ,mostly,20
Tear ,rip,1
Curt and short ,abrupt,9
Tranquil ,calm,3
"Alone, apart, detached ",isolated,2
Violent whirling windstorms,cyclones,3
"Stirs up, rouses ",excites,1
Sheepdog ,collie,1
Hazard ,peril,3
Yet to come,future,1
Evaded,dodged,4
Harm or injury ,damage,1
Separated ,apart,33
One making changes (in practices) ,reformer,2
Avidly enthusiastic ,zealous,2
Toy with plastic bricks ,lego,1
Traffic jam ,snarl-up,11
Someone not belonging to the nobility ,commoner,1
Joins together ,combines,3
Agave fibre ,sisal,2
