CLUE,ANS,POS,FOUND IN
Jeeves' employer ,wooster,19,"Mister Barmy (a playful reference to one of Jeeves' fictional employers, Bertie Wooster)"
Swell ,balloon,16,Inflated balloon
Cheroot ,cigar,1,Rolling cigarette
"People, especially if posh ",gentry,3,Uptown gentry
Agile ,nimble,8,Lightweight and nimble
Altruistic,selfless,1,Selflessness
Driving force ,impetus,7,Spurring impetus
Mankind ,human race,8,The human race
Depart; permission ,leave,3,Permitted leave
Land once belonging to a nobleman,manor,9,Manorial court
Earnest request ,plea,1,Serious plea
Fearful expectation ,dread,7,Premonitory dread
