CLUE,ANS,POS
Landed property ,estate,1
Sheep meat ,mutton,2
Work imitating various sources,pastiche,8
Geometrical figure ,triangle,5
Not recognised by anyone ,unknown,5
Upper chamber of Parliament ,house of lords,4
Hooked claw ,talon,1
Light-sensitive membrane in the eye ,retina,2
Carved or cast figure ,statue,1
Bodies of (usually fresh) water ,lakes,1
Consented ,agreed,1
One of the Great Lakes,huron,6
Vivid long-tailed bird of the Americas,quetzal,3
Dickens novel,hard times,6
Bringer of freedom,liberator,1
