CLUE,ANS,POS,FOUND IN
Triangle with two sides of equal length ,isosceles,1,Isosceles: A triangle with two sides of equal length.
Contort ,twist,1,Bent or twisted
Diminutive animal doctor ,vet,1,Veterinarian
Sign up ,enrol,1,Enroll
Of the moon ,lunar,1,Lunar surface
Rotary energy converter,turbine,1,Turbine-based generator
Continuous,unbroken,15,Unbroken sequence
Wanderer ,nomad,1,Nomadic
French definite article ,les,1,"These articles function similarly to the English word ""the,"" indicating a specific object or group of objects."
Relating to the kidneys ,renal,1,Renal - related to or derived from the kidneys
Enfold ,wrap,2,Wrap up completely
Smooth little stone ,pebble,1,Polished pebble
Older or higher in standing ,senior,1,Senior citizen
Very bright red ,scarlet,3,Scarlet shade
Thwarted ,frustrated,7,Frustrated attempt
