CLUE,ANS,POS
"Inclination, propensity ",tendency,1
Chief Norse god ,odin,1
Capital of Japan,tokyo,1
Powerful portable radio and cassette player ,boombox,5
"Brought up, propagated ",bred,4
Dismantle ,take apart,4
Hole in tooth ,cavity,1
Fossilised resin used in jewellery,amber,1
Male sex hormone,testosterone,1
Hairpiece ,toupee,4
Yellowish fossil resin ,amber,1
Having reading disorder ,dyslexic,1
Actor's part ,role,1
In a secret manner ,clandestinely,8
Very appropriate ,apposite,2
Unit of electric power,watt,1
