CLUE,ANS,POS,FOUND IN
Soft French cheese ,brie,1,"Brie - A creamy, buttery cheese with white mold rind."
Claw ,talon,1,"Talon - A strong, hooked claw on an eagle or bird of prey used for seizing and holding onto its prey."
Textile fibre,flax,10,Flax (as in linen)
Very thin paper ,tissue,1,Tissue Paper
Underground chapel ,crypt,10,Cloister Crypt
Automation ,robot,1,Robotics
District of the Gironde ,m,2,Bourg - The capital town of the Gironde department and the administrative center for the region's governmental functions.
Indian melody ,raga,1,Raga - A complex and intricate pattern used in Indian classical music to evoke specific emotions or moods.
Contract of insurance ,policy,1,Policyholder
"Soviet statesman (with a liking for cocktails?), d. 1986 ",molotov,17,"Molotov (Vyacheslav) - Vyacheslav Mikhailovich Molotov is better known for his role as Foreign Minister and ""People's Commissar of Defence,"" but one might humorously speculate that he had an affinity for cocktails given the era."
American university ,harvard,1,Harvard University
Part of London (or Alberta) ,edmonton,18,Edmonton City Hall (Alberta)
Rodents ,squirrels,5,"Squirrel (although primarily considered small mammals, some squirrels have rodent characteristics)"
Large flat dish ,platter,2,Serving platter
"Plant stems, edible when cooked ",rhubarb,9,"Rhubarb (often cooked with sugar, not eaten alone due to high acidity)"
City devastated in World War II ,coventry,8,"Coventry (United Kingdom) - Devastated by a German bombing raid on November 14, 1940, known as the ""Coventry Blitz."""
Tome ,book,2,Textbook
Because -- from the time when ,since,1,Since (adverb indicating starting point in time)
Earliest; good degree ,first,13,First-rate
Swift deer-like animal ,antelope,1,"Cheetah - Although not typically referred to as ""deer-like,"" cheetahs are swift, agile felines resembling small antelopes in their speed and grace."
Aromatic oil,patchouli,20,"Patchouli oil - Extracted from the leaves of the Indian northeastern plant patchouli (Pogostemon cablin), this earthy-musky essential oil is commonly utilized in perfumery and as an ingredient in air fresheners or room sprays due to its grounding qualities."
Illuminated ,lit,10,Illuminated (as in lit up)
Soft toffee,fudge,1,"Fudge - A rich, dense confection made with sugar, butter and chocolate or other flavorings like nuts or fruit"
Constituent of quartz ,silica,19,Sulfur (S) - sulfur can occasionally occur in trace amounts within some rare forms of silica-based minerals that are closely related to quartz.
