CLUE,ANS,POS
Ravine ,gorge,3
"Apprise, notify ",inform,1
Without fixed limits or restrictions,open-ended,11
"Drink, maybe philtre ",potion,4
Star sign ,virgo,6
"Horrified, shocked ",aghast,5
Take a stand against ,oppose,1
Damage ,harm,1
Egyptian goddess ,isis,1
Interlaced link of hair strands ,braid,1
"Work, run ",operate,2
"Hurry, haste ",rush,1
"The universe, all things ",creation,3
"Atrocious, awful ",dreadful,1
"London area, centre of the UK diamond trade",hatton garden,1
Revenge ,reprisal,10
Sudden apprehension and fear ,alarm,5
Wrongly understand ,misinterpret,1
Easy - without suffering ,painless,4
Thighbone ,femur,1
