CLUE,ANS,POS
Surpass - overshadow - excel,outdo,1
Lock openers ,keys,1
One serves at table ,waiter,2
Baby frogs ,tadpoles,1
Tether,leash,5
Level a charge against ,accuse,1
Tiredly ,wearily,1
Of regions around the North Pole ,arctic,1
Shouting ,yelling,1
Installer of mains-powered equipment ,electrician,1
"Concepts, notions ",ideas,1
Chair of the monarch ,throne,1
Joint of the body ,shoulder,5
Acclaim ,praise,1
Of little importance ,trivial,3
Seafood ,prawn,11
Diplomatic messenger ,envoy,2
Interval of quiet,lull,4
Fossilised resin ,amber,1
Graduates of a college ,alumni,1
Guided anti-ship missile ,exocet,2
