CLUE,ANS,POS,FOUND IN
Small barrels as for beer ,kegs,2,"Kegs - Originally from Dutch ""kagge,"" meaning barrel, now often used for beer storage."
Arch used in croquet ,hoop,2,Hoop - Another term for the wicket gates or arches around which players aim during play.
Feel; discernment ,sense,8,Discrimination (in a cognitive sense)
Standard of perfection ,ideal,2,Ideal standard
"Fake, sham ",pseudo,5,Pseudo-
Coniferous tree ,larch,9,Larch (Larix)
Salt water expanse,ocean,1,Ocean 
Curative mineral spring ,spa,5,Rejuvenating spa
Detailed examination ,analysis,1,Identify the scope of analysis: Determine what specifically requires examination and establish clear objectives for the process.
Come to rest -- North Yorkshire market town ,settle,11,Settled area
