CLUE,ANS,POS,FOUND IN
Vast age ,eon,11,Eons-old relic
'Many are called but few are ...' ,chosen,3,Chosen ones
One thought guilty of a crime,suspect,2,Criminal suspect
Narrow road ,lane,7,Tight lane
Cheap and poorly made ,shoddy,11,Shoddy workmanship
Concern or curiosity ,interest,6,Genuine interest in a topic
Closely compacted ,dense,4,Densely packed
Achieve successfully ,accomplish,1,Successfully accomplished
Peak (of cap); be very full ,brim,4,Brimming with contentment
Ovine animal-keeper ,shepherd,1,"Shepherd: The traditional term for a person who tends, herds, or manages sheep."
1979 US film about Vietnam,apocalypse now,1,Apocalypse Now (1979)
Submarine's eye? ,periscope,1,Periscope (metaphorically referring to the submarine’s ability to observe its surroundings)
Richard . . . . . . composer of 'The Flying Dutchman' and 'Lohengrin' ,wagner,20,Composer synonymous with Wagnerian style
Metal joint,weld,3,Welded linkage
People of high birth,gentry,7,Gentry family members
Wash ,bathe,7,Bathed in fluidity
"Verify, examine ",check,7,"Cross-check potential solutions: Verify each answer by checking against other clues, ensuring consistency and adherence to crossword convention (no double use of letters, etc.)."
Best possible,ideal,6,Ideal conditions
