CLUE,ANS,POS
Food for queen and larvae ,royal jelly,1
Keep back ,withhold,4
Highly skilled musician ,virtuoso,1
Long heroic story ,saga,4
Betrayal of a trust ,treachery,2
Manipulate; manage ,handle,5
Descend vertical slope using rope ,abseil,1
The smaller of two ,lesser,3
"Hard to pin down, slippery ",elusive,1
Pulled along roughly ,dragged,1
Remove hair (which could be narrow) ,shave,2
First ,initial,2
Patron or backer ,sponsor,1
Solid - business ,firm,15
Coin as opposed to paper money  ,specie,10
Knee-cap ,patella,1
A clairvoyant ,seer,2
Prophet ,oracle,2
Official ban on trade ,embargo,1
Cry like a wolf,howl,1
Chess piece ,knight,3
Xylophone-like instr. ,marimba,1
A one-storey dwelling house ,bungalow,1
Tribe ,clan,1
Port city of Poland ,gdansk,2
Eye inflammation ,iritis,6
