CLUE,ANS,POS
Professional misconduct,malpractice,2
Stuck-up ,snobbish,1
Responsibility or burden ,onus,6
A not-quite-human ancestor ,ape-man,17
State of being held prisoner ,captivity,3
Area of land feeding one river ,drainage basin,2
Appraise ,assess,2
Nothingness ,nullity,3
Very black ,inky,3
Dessert ,pudding,3
Group of things that belong together ,set,7
Anticipate ,foresee,5
World War I battlefield,ypres,4
Idle wanderer ,vagabond,1
(Political) murder ,assassination,1
Small leaflet ,pamphlet,1
Mistake ,error,1
Type of camel - cabin rat (anag),bactrian,2
Belgian city,antwerp,2
Sports or entertainment venue ,arena,2
A pause in the middle of a verse line ,caesura,1
Indistinct ,hazy,2
Transparent optical devices ,lens,1
Trustworthy or candid ,honest,1
Wealthy,rich,2
Twofold ,dual,1
Graceful,poised,1
Ways out ,exits,1
Disks as substitute for coins ,tokens,3
Liquid part of blood ,plasma,1
Legendary sailor of Arabian Nights ,sinbad,1
Difficulties to be resolved ,problems,2
Make merry ,revel,2
Pig meat  essayist,bacon,3
"Cautious, prudent ",circumspect,2
