CLUE,ANS,POS
"Abode, home ",residence,2
Sense organ ,ear,2
Healing ointment ,balm,2
The home of sherry ,jerez,3
Small silky-haired spaniel ,maltese,3
4840 square yards ,acre,1
Fermenting grape juice ,must,1
Glance over ,scan,5
Set of clothes ,outfit,2
Female sheep ,ewe,1
Greek teller of animal tales with a moral ,aesop,1
Whisper,murmur,3
Tower of London sparklers ,crown jewels,1
Subdue by greater strength or numbers ,overpower,8
Thing not charged for ,freebie,7
"Declare confidently, promise ",assure,4
Captain after Moby-Dick ,ahab,1
Song of loyalty ,anthem,1
Noble gas used in illuminated signs ,neon,6
Peter Pan author ,barrie,1
