CLUE,ANS,POS
Feeling of annoyance,chagrin,16
Element ,zinc,15
Acquiring skill or knowledge ,learning,1
Developing in small steps ,gradual,1
Like lawns or pasture ,grassy,2
Pretentiously imposing -- organised (anag) ,grandiose,1
Leave out or neglect ,omit,11
Writer (before printing was developed),scribe,1
"Smooth, glossy ",sleek,2
"Last, final or extreme ",ultimate,3
Low in price ,cheap,1
The witching hour ,midnight,1
Attack ,raid,5
Give fresh life to ,renew,6
Firmly loyal in cerulean manner? ,true blue,7
