CLUE,ANS,POS,FOUND IN
Member of the family ,relative,1,Relative: A person connected by blood or marriage.
Laconic ,terse,6,Terse communication
First batsman ,opener,2,Premier opener
Small mouse-like rodent ,vole,5,Meadow vole
Gem ,jewel,12,Jewelry box contents
Thrill,excite,1,Excitement
Taking to be the case ,assuming,1,Assuming circumstances warrant such action
Lift or hold something to assess its weight,heft,13,Testing heft
One travelling widely ,globetrotter,11,Seasoned globetrotter
Convexity of the surface of a road ,camber,6,"Camber or crown: The gentle slope that exists on many roads, ensuring water runoff away from the driving surface, typically seen as a slight convex curvature."
"Main, principal ",dominant,12,Dominant influence
Compulsory,forced,5,Enforced
Turn hide into leather ,tan,1,Tanning
Green part that forms a flower's calyx,sepal,1,Sepals
