CLUE,ANS,POS
Agra tourist attraction ,taj mahal,1
Winged god of love ,eros,2
Pay a quick informal visit,pop in,2
Widespread killing ,massacre,2
Arrow maker ,fletcher,3
They're smaller than towns ,villages,1
Book series by John Galsworthy ,the forsyte saga,1
Inuit abode,igloo,1
Strong drink ,vodka,8
Home loan ,mortgage,1
Bright and warm ,sunny,1
Aviators ,pilots,1
Warning of danger ,alert,2
River flowing through Russia and Kazakhstan to the Caspian,ural,2
Hazel nut ,filbert,4
Pleasure seeker ,hedonist,2
Take small bites from ,nibble,1
